NPY
PYY
PP
ghrelin
GLP-1
glucagon
obestatin
CCK
amylin
GIP
POMC
leptin
AGRP
ASIP
cholesin
CRF
MSH
oxyntomodulin
GRP
NMB
orexin a
secretin
neurotensin
gastrin
motilin
Y1R
Y2R
Y4R
Y5R
GHSR
GLP1R
GLCR
CRLR
MCR3
MCR4
MCR5
LeptinR
BB1R/GRPR
BB1R
GRPR
BB2R
BB3R
OxR1
OxR2
SecretinR
NTR1
GPR146
GPR93
SSTR2
